sample_id,campaign,timestamp,Pt_percent,Ru_percent,Ir_percent,overpotential_V,tafel_slope_mV_dec,exchange_current_A_cm2,charge_transfer_resistance_Ohm_cm2,surface_area_m2_g,temperature_C,pH,replicate_std,measurement_quality,operator,instrument_id
CAT-03-001,3,2025-03-01 00:00:00,75.0,19.6,5.5,,,,35.34,115.8,24.97,1.14,0.005,0,Charlie,POTENTIOSTAT-03
CAT-03-002,3,2025-03-01 02:00:00,40.5,13.1,46.3,0.2847,99.5,1.4706242984860166e-05,66.75,44.3,24.91,1.1,0.0121,1,Bob,POTENTIOSTAT-03
CAT-03-003,3,2025-03-01 04:00:00,49.1,13.9,37.1,0.24,30.0,3.953865747101941e-05,25.36,48.5,25.13,0.79,0.027,1,Charlie,POTENTIOSTAT-03
CAT-03-004,3,2025-03-01 06:00:00,62.7,27.2,10.1,0.254,30.0,5.2581861229537796e-05,19.57,53.9,24.86,1.24,0.0198,1,Alice,POTENTIOSTAT-03
CAT-03-005,3,2025-03-01 08:00:00,54.1,11.8,34.1,0.2509,70.9,8.21673965927809e-05,14.27,95.2,24.94,1.03,0.0202,1,Bob,POTENTIOSTAT-03
CAT-03-006,3,2025-03-01 10:00:00,64.4,10.9,24.7,0.2069,111.6,3.5867448973202706e-05,31.88,91.6,25.17,0.95,0.0151,1,Alice,POTENTIOSTAT-03
CAT-03-007,3,2025-03-01 12:00:00,41.0,31.4,27.6,,,,171.39,111.4,25.05,1.05,0.0219,0,Bob,POTENTIOSTAT-03
CAT-03-008,3,2025-03-01 14:00:00,44.7,20.8,34.5,0.2789,34.5,1.4705993434083387e-06,662.79,98.6,25.0,0.9,0.0097,1,Charlie,POTENTIOSTAT-03
CAT-03-009,3,2025-03-01 16:00:00,45.1,13.8,41.2,,,,134.59,80.7,25.0,1.05,0.0255,0,Bob,POTENTIOSTAT-03
CAT-03-010,3,2025-03-01 18:00:00,47.6,17.6,34.8,0.2242,69.0,0.00010432175199451107,10.69,119.3,24.91,0.92,0.0079,1,Bob,POTENTIOSTAT-03
CAT-03-011,3,2025-03-01 20:00:00,58.4,29.3,12.4,0.284,98.5,0.00013924158156237892,7.48,61.3,24.99,1.2,0.0214,1,Charlie,POTENTIOSTAT-03
CAT-03-012,3,2025-03-01 22:00:00,70.1,18.3,11.6,,,,62.44,106.7,24.97,1.01,0.0135,0,Charlie,POTENTIOSTAT-03
CAT-03-013,3,2025-03-02 00:00:00,76.2,24.8,-1.1,0.1769,95.1,5.196022661845804e-06,230.81,74.1,25.02,1.06,0.0237,1,Charlie,POTENTIOSTAT-03
CAT-03-014,3,2025-03-02 02:00:00,73.4,13.7,12.9,0.2595,30.0,9.051689370101326e-06,91.69,91.9,24.85,0.92,0.0187,1,Bob,POTENTIOSTAT-03
CAT-03-015,3,2025-03-02 04:00:00,47.9,27.6,24.5,0.3066,51.4,5.696433474951899e-05,15.61,98.2,25.04,1.08,0.0163,1,Alice,POTENTIOSTAT-03
CAT-03-016,3,2025-03-02 06:00:00,57.6,19.5,22.9,0.2472,71.9,1.0236098451048408e-05,94.09,90.7,25.1,1.0,0.0092,1,Bob,POTENTIOSTAT-03
CAT-03-017,3,2025-03-02 08:00:00,48.0,28.8,23.2,0.266,65.2,3.652160957681872e-05,25.71,51.2,24.98,0.86,0.0209,1,Bob,POTENTIOSTAT-03
CAT-03-018,3,2025-03-02 10:00:00,50.6,34.3,15.2,,,,40.34,75.4,25.06,0.98,0.0294,0,Alice,POTENTIOSTAT-03
CAT-03-019,3,2025-03-02 12:00:00,60.1,28.3,11.5,0.2622,30.0,4.271962244605194e-05,19.59,84.9,25.03,1.19,0.0256,1,Charlie,POTENTIOSTAT-03
CAT-03-020,3,2025-03-02 14:00:00,42.7,18.9,38.4,0.2942,64.2,0.0001320230611324403,8.12,107.9,24.94,1.09,0.0065,1,Bob,POTENTIOSTAT-03
CAT-03-021,3,2025-03-02 16:00:00,48.7,17.7,33.6,,,,29.74,75.5,24.89,0.96,0.0144,0,Alice,POTENTIOSTAT-03
CAT-03-022,3,2025-03-02 18:00:00,77.4,19.8,2.8,0.237,61.1,2.5088383475318422e-05,40.09,113.5,24.91,0.81,0.0281,1,Charlie,POTENTIOSTAT-03
CAT-03-023,3,2025-03-02 20:00:00,58.6,14.9,26.4,0.2381,30.0,0.00019406346070070303,5.23,75.2,25.03,0.92,0.0176,1,Charlie,POTENTIOSTAT-03
CAT-03-024,3,2025-03-02 22:00:00,57.8,15.4,26.7,0.2635,89.9,2.804614005120853e-05,32.16,83.9,24.99,0.86,0.0216,1,Bob,POTENTIOSTAT-03
CAT-03-025,3,2025-03-03 00:00:00,40.6,33.7,25.7,0.2867,40.4,6.7626427709493395e-06,163.72,103.7,25.13,0.82,0.0278,1,Charlie,POTENTIOSTAT-03
CAT-03-026,3,2025-03-03 02:00:00,49.9,21.5,28.6,0.3246,35.5,3.122337797879829e-05,35.25,86.6,25.08,1.08,0.0268,1,Charlie,POTENTIOSTAT-03
CAT-03-027,3,2025-03-03 04:00:00,74.7,23.1,2.3,,,,29.31,116.8,25.08,1.01,0.0175,0,Alice,POTENTIOSTAT-03
CAT-03-028,3,2025-03-03 06:00:00,46.6,27.8,25.6,0.3424,54.5,9.148392806785386e-06,96.75,92.8,25.03,1.18,0.0159,1,Alice,POTENTIOSTAT-03
CAT-03-029,3,2025-03-03 08:00:00,56.6,27.7,15.7,0.281,65.3,9.533871531441196e-06,87.98,81.8,24.9,0.9,0.0135,1,Charlie,POTENTIOSTAT-03
CAT-03-030,3,2025-03-03 10:00:00,40.6,12.0,47.4,0.2696,30.0,1.2930757590842625e-05,63.86,41.9,25.03,1.0,0.023,1,Alice,POTENTIOSTAT-03
CAT-03-031,3,2025-03-03 12:00:00,59.1,34.9,5.9,0.2832,30.0,9.282120973777545e-06,111.73,73.1,25.01,0.86,0.0122,1,Charlie,POTENTIOSTAT-03
CAT-03-032,3,2025-03-03 14:00:00,40.8,15.3,43.8,,,,97.59,63.9,24.89,0.94,0.0112,1,Bob,POTENTIOSTAT-03
CAT-03-033,3,2025-03-03 16:00:00,72.8,31.7,-4.5,0.2437,30.8,7.784130059209102e-06,146.88,99.8,25.12,0.98,0.0139,1,Alice,POTENTIOSTAT-03
CAT-03-034,3,2025-03-03 18:00:00,73.0,33.2,-6.2,0.2499,60.6,3.1133824331194696e-05,31.65,56.7,25.11,0.96,0.0094,1,Charlie,POTENTIOSTAT-03
CAT-03-035,3,2025-03-03 20:00:00,71.5,31.4,-3.0,,,,39.71,56.4,24.89,1.01,0.0224,0,Charlie,POTENTIOSTAT-03
CAT-03-036,3,2025-03-03 22:00:00,51.3,27.4,21.3,0.2549,66.3,2.9021503047850126e-05,40.62,55.2,24.94,1.1,0.0204,1,Alice,POTENTIOSTAT-03
CAT-03-037,3,2025-03-04 00:00:00,73.5,10.4,16.1,0.1922,65.7,2.4233130506513833e-05,37.55,50.0,24.95,1.09,0.0171,1,Alice,POTENTIOSTAT-03
CAT-03-038,3,2025-03-04 02:00:00,61.7,20.8,17.5,,,,54.15,64.9,25.06,0.92,0.0148,0,Bob,POTENTIOSTAT-03
CAT-03-039,3,2025-03-04 04:00:00,55.0,28.1,16.9,0.2708,72.4,9.536351842851895e-05,12.3,110.9,25.05,1.0,0.0277,1,Charlie,POTENTIOSTAT-03
CAT-03-040,3,2025-03-04 06:00:00,65.0,21.6,13.4,0.2369,82.9,2.289999929703995e-05,40.84,102.0,25.0,1.08,0.0057,1,Bob,POTENTIOSTAT-03
CAT-03-041,3,2025-03-04 08:00:00,40.5,35.9,23.6,0.2855,47.4,7.258605296628552e-05,16.06,98.8,25.03,1.1,0.0242,1,Bob,POTENTIOSTAT-03
CAT-03-042,3,2025-03-04 10:00:00,45.7,19.3,35.0,0.2933,88.3,5.190086063224942e-06,229.75,103.8,24.87,0.93,0.0275,1,Bob,POTENTIOSTAT-03
CAT-03-043,3,2025-03-04 12:00:00,69.7,18.8,11.5,0.2349,45.5,4.2157270442831266e-05,25.26,61.6,25.04,1.07,0.0162,1,Alice,POTENTIOSTAT-03
CAT-03-044,3,2025-03-04 14:00:00,49.8,18.0,32.3,0.2716,72.1,7.752070295285338e-06,145.35,111.0,24.99,1.03,0.0188,1,Bob,POTENTIOSTAT-03
CAT-03-045,3,2025-03-04 16:00:00,63.9,20.0,16.1,,,,98.46,51.0,24.93,0.89,0.0286,1,Alice,POTENTIOSTAT-03
CAT-03-046,3,2025-03-04 18:00:00,55.4,26.7,17.9,0.2584,64.6,1.1947153266454793e-05,90.38,66.9,24.85,1.08,0.0103,1,Alice,POTENTIOSTAT-03
CAT-03-047,3,2025-03-04 20:00:00,74.2,31.2,-5.4,0.216,30.0,1.351258892634714e-05,68.29,86.9,25.0,1.02,0.018,1,Bob,POTENTIOSTAT-03
CAT-03-048,3,2025-03-04 22:00:00,78.1,29.9,-8.0,0.2424,87.5,1.203248242820781e-05,68.38,48.2,25.04,0.83,0.0169,1,Bob,POTENTIOSTAT-03
CAT-03-049,3,2025-03-05 00:00:00,75.3,34.2,-9.6,0.2195,85.5,9.326220610894429e-05,10.05,98.4,24.83,0.97,0.0115,1,Charlie,POTENTIOSTAT-03
CAT-03-050,3,2025-03-05 02:00:00,50.8,36.6,12.6,,,,60.78,71.0,25.0,1.0,0.0255,0,Bob,POTENTIOSTAT-03
CAT-03-051,3,2025-03-05 04:00:00,47.8,34.5,17.8,,,,45.33,102.8,25.01,0.94,0.0275,0,Charlie,POTENTIOSTAT-03
CAT-03-052,3,2025-03-05 06:00:00,59.0,10.6,30.5,0.2357,50.8,1.25870632862186e-05,63.94,79.4,24.94,1.12,0.0245,1,Bob,POTENTIOSTAT-03
CAT-03-053,3,2025-03-05 08:00:00,40.3,32.1,27.6,0.3208,30.0,3.8632062572224954e-05,22.15,54.5,25.04,1.13,0.0099,1,Bob,POTENTIOSTAT-03
CAT-03-054,3,2025-03-05 10:00:00,41.0,16.3,42.7,0.2956,36.6,2.4345765805897623e-05,44.62,98.8,24.99,0.96,0.0072,1,Bob,POTENTIOSTAT-03
CAT-03-055,3,2025-03-05 12:00:00,62.1,14.0,23.9,0.2457,30.0,1.4262600765155115e-05,83.37,60.2,25.03,0.95,0.0201,1,Bob,POTENTIOSTAT-03
CAT-03-056,3,2025-03-05 14:00:00,60.8,29.2,10.0,0.2661,71.0,2.990567348892031e-06,399.0,79.3,25.05,0.99,0.0064,1,Charlie,POTENTIOSTAT-03
CAT-03-057,3,2025-03-05 16:00:00,79.8,19.6,0.6,0.2079,30.0,3.107319508224665e-05,32.1,46.0,25.05,0.98,0.0218,1,Charlie,POTENTIOSTAT-03
CAT-03-058,3,2025-03-05 18:00:00,48.1,11.7,40.2,0.2663,43.5,3.591504755573232e-05,31.96,89.4,25.1,0.94,0.0183,1,Bob,POTENTIOSTAT-03
CAT-03-059,3,2025-03-05 20:00:00,50.3,14.1,35.5,0.2525,69.0,6.392556347310031e-06,171.25,93.3,25.03,0.63,0.0216,1,Bob,POTENTIOSTAT-03
CAT-03-060,3,2025-03-05 22:00:00,44.5,10.0,45.4,,,,77.91,70.3,24.95,1.18,0.0198,0,Charlie,POTENTIOSTAT-03
CAT-03-061,3,2025-03-06 00:00:00,76.7,37.1,-13.8,0.2222,58.8,4.2091364860884114e-05,24.45,116.4,24.94,1.0,0.0156,1,Alice,POTENTIOSTAT-03
CAT-03-062,3,2025-03-06 02:00:00,71.1,10.7,18.1,0.2385,63.2,3.4479071745675955e-06,247.94,109.9,24.89,0.98,0.01,1,Alice,POTENTIOSTAT-03
CAT-03-063,3,2025-03-06 04:00:00,72.9,16.3,10.8,0.1868,47.8,1.2645048116807783e-05,92.93,96.6,25.02,1.03,0.0126,1,Alice,POTENTIOSTAT-03
CAT-03-064,3,2025-03-06 06:00:00,76.1,22.5,1.4,0.2299,30.0,3.3777586233051285e-05,27.85,97.1,25.13,0.99,0.0181,1,Charlie,POTENTIOSTAT-03
CAT-03-065,3,2025-03-06 08:00:00,61.0,20.7,18.3,0.2555,47.7,6.94170724418507e-05,14.1,60.2,24.96,0.96,0.0213,1,Charlie,POTENTIOSTAT-03
CAT-03-066,3,2025-03-06 10:00:00,58.0,37.4,4.6,0.2763,73.8,0.00021891433266509118,4.88,92.5,25.04,0.9,0.0245,1,Alice,POTENTIOSTAT-03
CAT-03-067,3,2025-03-06 12:00:00,53.2,11.2,35.6,0.2754,55.6,0.00016925707038800786,5.52,55.9,24.92,0.82,0.0242,1,Alice,POTENTIOSTAT-03
CAT-03-068,3,2025-03-06 14:00:00,63.6,25.4,11.1,0.2425,71.2,2.436995431988092e-05,37.0,51.5,25.02,0.86,0.0293,1,Bob,POTENTIOSTAT-03
CAT-03-069,3,2025-03-06 16:00:00,58.2,30.4,11.4,,,,100.59,120.0,25.13,0.89,0.0121,0,Charlie,POTENTIOSTAT-03
CAT-03-070,3,2025-03-06 18:00:00,58.1,38.0,4.0,,,,13.22,89.8,25.07,1.07,0.0068,0,Charlie,POTENTIOSTAT-03
CAT-03-071,3,2025-03-06 20:00:00,77.5,28.6,-6.1,,,,86.79,74.5,24.84,1.07,0.0136,0,Alice,POTENTIOSTAT-03
CAT-03-072,3,2025-03-06 22:00:00,79.4,34.1,-13.5,0.2424,63.7,8.593458540964871e-06,117.02,63.1,25.06,0.91,0.0236,1,Alice,POTENTIOSTAT-03
CAT-03-073,3,2025-03-07 00:00:00,71.9,12.5,15.6,0.1919,99.4,1.8349113146078624e-05,56.8,88.3,25.06,0.73,0.016,1,Charlie,POTENTIOSTAT-03
CAT-03-074,3,2025-03-07 02:00:00,70.3,21.6,8.2,0.2341,104.3,1.3073195031327502e-05,80.53,44.0,25.02,1.0,0.0254,1,Bob,POTENTIOSTAT-03
CAT-03-075,3,2025-03-07 04:00:00,67.2,21.2,11.6,0.2229,52.3,3.6346824824629944e-05,27.81,47.6,25.07,0.96,0.0187,1,Alice,POTENTIOSTAT-03
CAT-03-076,3,2025-03-07 06:00:00,46.6,36.6,16.8,0.2913,30.0,8.245826384110266e-06,125.28,42.6,24.92,0.96,0.0282,1,Charlie,POTENTIOSTAT-03
CAT-03-077,3,2025-03-07 08:00:00,42.4,14.5,43.1,,,,52.94,79.9,25.01,1.1,0.0287,0,Charlie,POTENTIOSTAT-03
CAT-03-078,3,2025-03-07 10:00:00,67.6,14.6,17.8,0.2047,57.5,0.00015417455609693974,7.14,88.0,25.11,1.01,0.0067,1,Bob,POTENTIOSTAT-03
CAT-03-079,3,2025-03-07 12:00:00,69.2,19.9,11.0,0.2393,54.6,2.4128806667264226e-05,45.21,45.0,25.1,0.9,0.0164,1,Bob,POTENTIOSTAT-03
CAT-03-080,3,2025-03-07 14:00:00,41.9,11.6,46.5,0.2771,33.0,0.00010098296763706938,11.37,97.7,25.05,0.88,0.0202,1,Alice,POTENTIOSTAT-03
CAT-03-081,3,2025-03-07 16:00:00,77.1,15.5,7.4,,,,9.75,58.4,24.91,0.97,0.0114,0,Alice,POTENTIOSTAT-03
