sample_id,campaign,timestamp,Pt_percent,Ru_percent,Ir_percent,overpotential_V,tafel_slope_mV_dec,exchange_current_A_cm2,charge_transfer_resistance_Ohm_cm2,surface_area_m2_g,temperature_C,pH,replicate_std,measurement_quality,operator,instrument_id
CAT-02-001,2,2025-02-01 00:00:00,79.3,15.6,5.1,0.2241,30.0,9.979408359456547e-06,81.4,61.2,25.31,1.0,0.0286,1,Charlie,POTENTIOSTAT-02
CAT-02-002,2,2025-02-01 02:00:00,48.4,12.8,38.8,,,,38.71,84.3,25.1,1.07,0.0071,0,Charlie,POTENTIOSTAT-02
CAT-02-003,2,2025-02-01 04:00:00,73.0,20.7,6.3,0.2619,104.1,6.815100871795743e-05,12.57,56.0,24.73,1.09,0.0113,1,Alice,POTENTIOSTAT-02
CAT-02-004,2,2025-02-01 06:00:00,60.8,32.7,6.5,0.2783,45.4,6.315833910737027e-05,14.02,63.5,25.51,0.96,0.0245,1,Alice,POTENTIOSTAT-02
CAT-02-005,2,2025-02-01 08:00:00,54.9,18.3,26.8,,,,51.84,59.0,24.92,0.95,0.0075,0,Bob,POTENTIOSTAT-02
CAT-02-006,2,2025-02-01 10:00:00,44.9,19.4,35.7,,,,19.05,115.9,25.11,1.02,0.0069,0,Alice,POTENTIOSTAT-02
CAT-02-007,2,2025-02-01 12:00:00,69.4,29.3,1.3,0.275,55.6,2.543771049846204e-06,333.19,115.6,25.19,1.02,0.014,1,Alice,POTENTIOSTAT-02
CAT-02-008,2,2025-02-01 14:00:00,49.4,15.9,34.7,0.2653,92.3,8.122160475765595e-06,136.16,88.8,25.11,1.01,0.0073,1,Alice,POTENTIOSTAT-02
CAT-02-009,2,2025-02-01 16:00:00,54.9,36.9,8.2,0.2668,66.2,8.259097509931228e-06,129.36,114.0,25.27,1.01,0.0196,1,Alice,POTENTIOSTAT-02
CAT-02-010,2,2025-02-01 18:00:00,42.5,25.6,31.9,,,,13.96,102.9,25.32,0.93,0.0107,0,Alice,POTENTIOSTAT-02
CAT-02-011,2,2025-02-01 20:00:00,72.1,23.4,4.5,,,,20.84,87.2,24.93,1.08,0.0274,0,Bob,POTENTIOSTAT-02
CAT-02-012,2,2025-02-01 22:00:00,70.7,26.7,2.6,0.24,126.0,2.583955001678947e-05,35.79,40.5,25.49,1.06,0.0246,1,Bob,POTENTIOSTAT-02
CAT-02-013,2,2025-02-02 00:00:00,69.3,15.0,15.7,0.225,30.0,3.09643526777842e-05,32.07,101.8,24.92,0.87,0.0225,1,Alice,POTENTIOSTAT-02
CAT-02-014,2,2025-02-02 02:00:00,52.0,28.4,19.6,,,,10.03,96.2,25.1,0.96,0.0204,0,Bob,POTENTIOSTAT-02
CAT-02-015,2,2025-02-02 04:00:00,46.9,20.9,32.2,0.2695,30.0,1.4992793784580167e-05,63.69,89.2,24.88,1.01,0.0266,1,Charlie,POTENTIOSTAT-02
CAT-02-016,2,2025-02-02 06:00:00,65.5,36.9,-2.4,0.2382,30.0,4.640481720663125e-06,250.54,100.8,24.8,0.95,0.0106,1,Alice,POTENTIOSTAT-02
CAT-02-017,2,2025-02-02 08:00:00,59.8,15.1,25.1,0.2384,30.0,7.358186349904534e-05,10.96,81.0,25.31,1.06,0.0268,1,Charlie,POTENTIOSTAT-02
CAT-02-018,2,2025-02-02 10:00:00,47.1,25.2,27.7,0.2736,64.8,2.2063494156768807e-05,50.44,96.3,25.94,0.99,0.0247,1,Bob,POTENTIOSTAT-02
CAT-02-019,2,2025-02-02 12:00:00,67.4,27.9,4.6,0.2413,66.2,6.225340874047102e-05,13.65,114.8,24.89,1.02,0.0237,1,Bob,POTENTIOSTAT-02
CAT-02-020,2,2025-02-02 14:00:00,79.6,11.0,9.4,,,,50.18,70.1,25.36,0.96,0.019,0,Charlie,POTENTIOSTAT-02
CAT-02-021,2,2025-02-02 16:00:00,69.9,20.9,9.2,,,,133.12,96.6,24.9,0.8,0.0112,0,Bob,POTENTIOSTAT-02
CAT-02-022,2,2025-02-02 18:00:00,69.6,32.0,-1.6,0.267,49.9,2.9329961117838667e-05,38.78,78.1,25.0,0.79,0.0156,1,Alice,POTENTIOSTAT-02
CAT-02-023,2,2025-02-02 20:00:00,78.0,34.6,-12.6,0.2125,30.2,2.3988560044503806e-05,34.98,94.0,25.53,1.06,0.0248,1,Charlie,POTENTIOSTAT-02
CAT-02-024,2,2025-02-02 22:00:00,48.1,19.4,32.5,0.2806,87.9,2.1438797775440774e-05,47.74,101.0,24.68,1.03,0.0058,1,Alice,POTENTIOSTAT-02
